50	364
0	4
0	5
0	6
0	7
0	9
0	11
0	12
0	15
0	17
0	18
0	23
0	39
0	42
1	2
1	6
1	8
1	13
1	16
1	17
1	18
1	20
1	21
1	23
1	24
1	26
1	28
1	36
1	43
1	44
1	45
1	46
1	47
2	3
2	4
2	14
2	16
2	17
2	18
2	26
2	28
2	33
2	34
2	39
2	40
2	41
2	42
2	48
3	5
3	8
3	13
3	14
3	15
3	17
3	20
3	23
3	25
3	26
3	36
3	38
3	41
3	42
3	43
3	46
4	7
4	11
4	19
4	22
4	25
4	27
4	30
4	36
4	38
4	39
4	40
4	46
4	47
4	49
5	6
5	8
5	9
5	10
5	11
5	14
5	15
5	19
5	22
5	23
5	29
5	32
5	34
5	35
5	38
5	44
6	8
6	10
6	14
6	17
6	21
6	22
6	23
6	25
6	26
6	29
6	39
6	41
7	11
7	12
7	13
7	16
7	18
7	20
7	21
7	22
7	24
7	32
7	33
7	38
7	45
7	49
8	19
8	26
8	27
8	28
8	29
8	38
8	39
8	42
8	43
8	46
8	47
9	14
9	16
9	20
9	22
9	25
9	32
9	33
9	35
9	36
9	37
9	43
9	45
9	46
9	47
9	48
10	14
10	15
10	17
10	22
10	23
10	24
10	27
10	30
10	31
10	33
10	35
10	37
10	48
11	22
11	23
11	28
11	29
11	32
11	34
11	39
11	40
11	43
11	44
11	45
11	47
12	14
12	16
12	20
12	22
12	29
12	38
12	40
12	42
12	44
12	45
12	46
13	17
13	21
13	23
13	24
13	28
13	29
13	31
13	41
13	44
13	48
13	49
14	16
14	24
14	28
14	29
14	30
14	31
14	34
14	45
14	49
15	19
15	21
15	25
15	26
15	31
15	35
15	40
15	41
15	42
15	43
15	46
16	17
16	22
16	29
16	30
16	37
16	40
16	45
17	18
17	28
17	31
17	33
17	36
17	37
17	38
17	42
17	43
17	46
17	47
17	48
18	19
18	27
18	31
18	40
18	45
18	47
19	21
19	28
19	33
19	37
19	39
19	41
19	42
19	44
19	47
19	48
20	21
20	26
20	41
20	42
20	43
21	22
21	35
21	36
21	38
21	39
21	40
21	42
21	47
21	48
22	30
22	31
22	33
22	35
22	41
22	43
22	45
22	46
22	48
23	25
23	27
23	36
23	40
24	34
24	37
24	38
24	40
24	41
24	42
24	44
24	48
24	49
25	26
25	28
25	29
25	30
25	32
25	36
25	38
25	44
25	47
25	48
26	28
26	31
26	37
26	41
26	46
27	30
27	38
27	43
28	44
29	30
29	32
29	38
29	46
29	48
29	49
30	31
30	32
30	33
30	37
30	38
30	39
30	42
30	48
31	33
31	36
31	39
31	44
31	49
32	34
32	41
32	48
33	35
33	47
34	35
34	38
34	41
34	42
35	44
36	37
36	38
36	45
36	48
36	49
37	38
37	39
37	42
37	44
38	39
38	41
38	42
38	43
38	45
38	47
39	41
39	43
39	46
40	43
40	46
41	45
41	47
41	48
42	46
42	48
43	45
43	48
44	45
44	48
44	49
46	48
47	48
48	49
